"filename", "language", "Python", "pip requirements", "Markdown", "JavaScript", "CSS", "HTML", "JSON", "XML", "TypeScript", "YAML", "comment", "blank", "total"
"f:\XM\HoYoGameLauncher\html\static\js\i18n.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 4, 7, 77
"f:\XM\HoYoGameLauncher\html\static\js\lib\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\XM\HoYoGameLauncher\html\static\js\lib\bs4pop-1.1-min.js", "JavaScript", 0, 0, 0, 321, 0, 0, 0, 0, 0, 0, 29, 86, 436
"f:\XM\HoYoGameLauncher\html\static\js\lib\jquery.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"f:\XM\HoYoGameLauncher\html\static\js\main.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 4, 11
"f:\XM\HoYoGameLauncher\lib\__init__.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 47
"f:\XM\HoYoGameLauncher\lib\build.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 67
"f:\XM\HoYoGameLauncher\lib\config.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 114
"f:\XM\HoYoGameLauncher\lib\debug.py", "Python", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 124
"f:\XM\HoYoGameLauncher\lib\i18ns.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"f:\XM\HoYoGameLauncher\lib\init.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 87
"f:\XM\HoYoGameLauncher\lib\plugin.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 109
"f:\XM\HoYoGameLauncher\lib\pre-commit.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 65
"f:\XM\HoYoGameLauncher\lib\retur.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 23
"f:\XM\HoYoGameLauncher\lib\uigf.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 33
"f:\XM\HoYoGameLauncher\main.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 15, 126
"f:\XM\HoYoGameLauncher\plugins\test\__init__.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 40
"f:\XM\HoYoGameLauncher\readme.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"f:\XM\HoYoGameLauncher\requirements.txt", "pip requirements", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"f:\XM\HoYoGameLauncher\server.py", "Python", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 33, 142
"f:\XM\HoYoGameLauncher\update.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 64
"f:\XM\HoYoGameLauncher\views\data.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 78
"f:\XM\HoYoGameLauncher\views\init.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 34
"f:\XM\HoYoGameLauncher\views\settings.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"Total", "-", 1128, 11, 555, 549, 134, 483, 158, 1, 23, 81, 222, 572, 3917
